cell	HRD	HR_proficient	HRD_score_sc	sample
BC07LN_86	BC07LN_86	-0.0176454855269412	0.0176454855269409	-0.0352909710538821	BC07LN
BC07LN_91	BC07LN_91	-0.00106388519927884	0.00106388519927829	-0.00212777039855714	BC07LN
BC07LN_95	BC07LN_95	0.0637778198814299	-0.0637778198814308	0.127555639762861	BC07LN
BC03_09	BC03_09	0.0306860047149766	-0.0306860047149768	0.0613720094299534	BC03
BC03_11	BC03_11	-0.0139809582762593	0.0139809582762596	-0.027961916552519	BC03
BC03_13	BC03_13	0.00381905598575458	-0.00381905598575431	0.00763811197150889	BC03
BC03_16	BC03_16	0.0377234392231233	-0.0377234392231236	0.0754468784462469	BC03
BC03_17	BC03_17	-0.0130477240998235	0.0130477240998241	-0.0260954481996476	BC03
BC03_19	BC03_19	-0.0401658982696558	0.0401658982696559	-0.0803317965393117	BC03
BC03_20	BC03_20	0.0170758711166804	-0.0170758711166801	0.0341517422333605	BC03
BC03_21	BC03_21	0.0342837388613461	-0.0342837388613459	0.068567477722692	BC03
BC03_23	BC03_23	0.00554933083666316	-0.00554933083666377	0.0110986616733269	BC03
BC03_26	BC03_26	0.0217745372178765	-0.0217745372178768	0.0435490744357533	BC03
BC03_29	BC03_29	-0.0163237452499974	0.0163237452499981	-0.0326474904999955	BC03
BC03_35	BC03_35	0.0342311771478428	-0.0342311771478439	0.0684623542956866	BC03
BC03_37	BC03_37	0.00466292504618104	-0.00466292504618136	0.00932585009236239	BC03
BC03_41	BC03_41	0.0547821350298998	-0.0547821350299	0.1095642700598	BC03
BC03_43	BC03_43	0.0522970037162273	-0.0522970037162272	0.104594007432455	BC03
BC03LN_05	BC03LN_05	0.00222857006947337	-0.00222857006947384	0.00445714013894721	BC03LN
BC03LN_19	BC03LN_19	0.114742180216158	-0.114742180216158	0.229484360432315	BC03LN
BC03LN_23	BC03LN_23	0.127300410986514	-0.127300410986514	0.254600821973028	BC03LN
BC03LN_25	BC03LN_25	0.0800564107636963	-0.0800564107636962	0.160112821527392	BC03LN
BC03LN_28	BC03LN_28	0.168796986810307	-0.168796986810307	0.337593973620613	BC03LN
BC03LN_35	BC03LN_35	0.0196849402081717	-0.0196849402081715	0.0393698804163433	BC03LN
BC03LN_47	BC03LN_47	0.133296167541073	-0.133296167541073	0.266592335082147	BC03LN
BC03LN_57	BC03LN_57	0.0124742382448476	-0.0124742382448477	0.0249484764896953	BC03LN
BC03LN_61	BC03LN_61	0.0639618003239718	-0.0639618003239716	0.127923600647943	BC03LN
BC03LN_89	BC03LN_89	0.123838649621546	-0.123838649621546	0.247677299243092	BC03LN
BC08_06	BC08_06	-0.141253363864971	0.141253363864971	-0.282506727729942	BC08
BC08_08	BC08_08	0.167062280125607	-0.167062280125607	0.334124560251214	BC08
BC08_22	BC08_22	0.122097587357789	-0.122097587357789	0.244195174715578	BC08
